,country,lang,project,id,adm0,adm1,adm2,adm3,adm4,name,address,municipality,lat,lon,lat_int,lon_int,image,commonscat,source,changed,monument_article,registrant_url
903,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003122,bytearray(b'se'),bytearray(b'se-o'),Tranemo,,,[[Månstads kyrka]] (Månstad 5:1),,Tranemo,57.60288,13.3469,1152.0,267.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Månstads_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003122
904,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003123,bytearray(b'se'),bytearray(b'se-ac'),Skellefteå,,,[[Bureå kyrka]] (Bureå 6:21),,Skellefteå,64.61809,21.20336,1292.0,424.0,Bureå kyrka-20070609.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Bureå_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003123
905,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003124,bytearray(b'se'),bytearray(b'se-o'),Tranemo,,,[[Södra Åsarps kyrka]] (Åsarp 6:1),,Tranemo,57.55507,13.38102,1151.0,268.0,Sodraasarpskyrkalimmared.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Södra_Åsarps_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003124
906,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003125,bytearray(b'se'),bytearray(b'se-o'),Trollhättan,,,[[Gärdhems kyrka]] (Jönsberg 2:2),,Trollhättan,58.24456,12.33464,1165.0,247.0,Gärdhems Kyrka.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Gärdhems_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003125
907,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003126,bytearray(b'se'),bytearray(b'se-o'),Trollhättan,,,[[Lagmansereds kyrka]] (Boryd 1:2),,Trollhättan,58.13897,12.42833,1163.0,249.0,Lagmansereds kyrka old2.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Lagmansereds_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003126
908,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003129,bytearray(b'se'),bytearray(b'se-h'),Västervik,,,[[Spårö båk]] (Västervik 4:28),,Västervik,57.71429,16.72496,1154.0,334.0,Spårö Båk IMG 8450.jpg,Spårö båk,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Kalmar_l%C3%A4n&oldid=34691594,2016-06-08 06:51:58,Spårö_båk,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003129
909,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003130,bytearray(b'se'),bytearray(b'se-ac'),Skellefteå,,,[[Lövångers kyrka|Lövångers kyrka (Sankta Anna kyrka)]] (Lövångers Prästbord 9:1),,Skellefteå,64.36826,21.31841,1287.0,426.0,Lövånger kyrka.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Lövångers_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003130
910,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003131,bytearray(b'se'),bytearray(b'se-ac'),Skellefteå,,,[[Kåge kyrka]] (Storkåge 24:8),,Skellefteå,64.8338,20.9861,1297.0,420.0,Kåge kyrka 2009-04-17.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Kåge_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003131
911,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003132,bytearray(b'se'),bytearray(b'se-ac'),Skellefteå,,,"[[Sankt Olovs kyrka, Skellefteå|Sankt Olovs kyrka]] (Kyrkan 1)",,Skellefteå,64.75009,20.96356,1295.0,419.0,Skellefteå Sankt Olovs församling.JPG,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,"Sankt_Olovs_kyrka,_Skellefteå",http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003132
912,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003133,bytearray(b'se'),bytearray(b'se-ac'),Skellefteå,,,[[Sävenäs kyrka]] (Prästen 1),,Skellefteå,64.70295,21.18497,1294.0,424.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Sävenäs_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003133
913,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003134,bytearray(b'se'),bytearray(b'se-ac'),Sorsele,,,[[Sorsele kyrka]] (Kyrkan 1),,Sorsele,65.54184,17.51536,1311.0,350.0,Sorsele kyrka.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Sorsele_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003134
914,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003135,bytearray(b'se'),bytearray(b'se-ac'),Sorsele,,,[[Ammarnäs kyrka|Ammarnäs kapell]] (Ammarnäs 1:1),,Sorsele,65.96102,16.21664,1319.0,324.0,Ammarnas kyrka 01.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Ammarnäs_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003135
915,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003136,bytearray(b'se'),bytearray(b'se-ac'),Sorsele,,,[[Gargnäs kyrka]] (Gargnäs 1:27),,Sorsele,65.31189,17.96249,1306.0,359.0,Gargnäs kyrka-2012-06-25.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Gargnäs_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003136
